Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2017 international $) [NY.GDP.PCAP.PP.KD]",Gross value added at basic prices (GVA) (constant 2015 US$) [NY.GDP.FCST.KD],"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY]
1998,YR1998,Brazil,BRA,11304.0969954988,984540623467.698,66.92,14.3
1998,YR1998,Russian Federation,RUS,12358.15234375,600059161854.77,67.19,2.3
1998,YR1998,India,IND,2359.89255117272,655029255196.271,59.84,..
1998,YR1998,China,CHN,3004.42734154728,..,83.36,..
1998,YR1998,South Africa,ZAF,10141.4625866116,185979356449.564,58.96,..
1999,YR1999,Brazil,BRA,11196.8385320757,994003224816.571,67.55,15
1999,YR1999,Russian Federation,RUS,13189.7939453125,634068278618.296,70.86,4.4
1999,YR1999,India,IND,2521.57665792208,707459148737.112,59.74,..
1999,YR1999,China,CHN,3206.73002570588,..,83.01,46
1999,YR1999,South Africa,ZAF,10270.0635127072,191000799072.353,58.84,..
2000,YR2000,Brazil,BRA,11529.4866151644,1033051563637.14,67.81,..
2000,YR2000,Russian Federation,RUS,14569.9365234375,693103878190.268,70.96,3
2000,YR2000,India,IND,2571.14965568846,736805668369.908,59.66,..
2000,YR2000,China,CHN,3451.67923093446,..,82.58,..
2000,YR2000,South Africa,ZAF,10598.860669143,199404834226.11,58.72,36.8
2001,YR2001,Brazil,BRA,11536.3638321407,1048682620869.66,68.09,13
2001,YR2001,Russian Federation,RUS,15378.08984375,727120139515.76,69.66,1.8
2001,YR2001,India,IND,2646.87822424904,776487640386.587,59.79,..
2001,YR2001,China,CHN,3712.33813234941,..,81.9,..
2001,YR2001,South Africa,ZAF,10789.0511567594,205187574421.498,58.62,..
2002,YR2002,Brazil,BRA,11739.431843405,1086220327586.02,68.94,11.7
2002,YR2002,Russian Federation,RUS,16175.09765625,761147014340.434,70.61,1
2002,YR2002,India,IND,2699.17810240919,806597904368.663,59.93,..
2002,YR2002,China,CHN,4024.35569664333,..,81.1,36.5
2002,YR2002,South Africa,ZAF,11086.9236950785,212985564626.468,58.53,..
2003,YR2003,Brazil,BRA,11733.4111975411,1099545031341.28,69.06,12.6
2003,YR2003,Russian Federation,RUS,17434.80859375,818157555901.334,70.49,1.1
2003,YR2003,India,IND,2861.57470800053,870855641522.404,60.09,..
2003,YR2003,China,CHN,4400.82518340985,..,80.25,..
2003,YR2003,South Africa,ZAF,11308.8832104594,219335664523.349,58.48,..
2004,YR2004,Brazil,BRA,12268.6638325485,1161742933381.89,69.96,11.1
2004,YR2004,Russian Federation,RUS,18765.51953125,872188623068.22,71.13,1
2004,YR2004,India,IND,3037.06381503522,932259112169.433,60.25,39.9
2004,YR2004,China,CHN,4817.21184451855,..,79.45,..
2004,YR2004,South Africa,ZAF,11713.8803525261,229200675180.057,58.47,..
2005,YR2005,Brazil,BRA,12520.8549899008,1196757869818.97,70.71,10
2005,YR2005,Russian Federation,RUS,20042.814453125,924451988355.983,71.57,0.8
2005,YR2005,India,IND,3225.54433045079,1009462323256.5,60.42,..
2005,YR2005,China,CHN,5334.64663937839,..,78.78,22.1
2005,YR2005,South Africa,ZAF,12216.0276406035,241376799263.057,58.51,28.3
2006,YR2006,Brazil,BRA,12877.4441830465,1240872942761.8,70.3,8.3
2006,YR2006,Russian Federation,RUS,21757.46484375,997830455213.334,71.86,0.4
2006,YR2006,India,IND,3432.8192514162,1090768520219.9,59.57,..
2006,YR2006,China,CHN,5979.78171182139,..,78.24,..
2006,YR2006,South Africa,ZAF,12776.8779422812,254715700109.614,58.6,..
2007,YR2007,Brazil,BRA,13518.8477758477,1312833739374.43,70.17,7.9
2007,YR2007,Russian Federation,RUS,23647.265625,1082060159170.09,72.7,0.2
2007,YR2007,India,IND,3642.00241028405,1171304057166.54,58.73,..
2007,YR2007,China,CHN,6795.17401238784,..,77.84,..
2007,YR2007,South Africa,ZAF,13325.982825217,268498472030.005,58.76,..
2008,YR2008,Brazil,BRA,14067.9458125762,1374229814185.41,70.23,6.5
2008,YR2008,Russian Federation,RUS,24887.853515625,1138509208649.48,73,0.1
2008,YR2008,India,IND,3701.39547865959,1221815350396.98,57.93,..
2008,YR2008,China,CHN,7412.87436348628,..,77.52,18
2008,YR2008,South Africa,ZAF,13596.2876855281,277323571204.667,59.01,18.7
2009,YR2009,Brazil,BRA,13916.9632254971,1372898811399.69,70.63,6.1
2009,YR2009,Russian Federation,RUS,22939.693359375,1061717436511.33,72.85,0.1
2009,YR2009,India,IND,3937.23764188214,1305589807149.7,57.14,32.9
2009,YR2009,China,CHN,8069.35463838628,..,77.19,..
2009,YR2009,South Africa,ZAF,13228.8947859009,273355860089.005,57.38,..
2010,YR2010,Brazil,BRA,14824.7411544273,1468674795065.17,69.65,..
2010,YR2010,Russian Federation,RUS,23961.220703125,1105099740773.98,72.73,0.1
2010,YR2010,India,IND,4213.36299135173,1410427065092.77,56.37,..
2010,YR2010,China,CHN,8884.58803122452,..,76.79,13.9
2010,YR2010,South Africa,ZAF,13469.3611287913,281340614551.336,55.8,18
2011,YR2011,Brazil,BRA,15271.4693518003,1523649382061.19,68.65,5.3
2011,YR2011,Russian Federation,RUS,24972.078125,1160488548727.44,73.06,0
2011,YR2011,India,IND,4374.23227160662,1484098248687.47,55.42,22.5
2011,YR2011,China,CHN,9680.09769961513,..,76.69,10.2
2011,YR2011,South Africa,ZAF,13721.6851257843,290030159259.242,55.99,..
2012,YR2012,Brazil,BRA,15425.3529285957,1548209450577.78,69.51,4.5
2012,YR2012,Russian Federation,RUS,25933.29296875,1208205534786.56,73.16,0
2012,YR2012,India,IND,4551.86212668958,1564524106542.7,54.51,..
2012,YR2012,China,CHN,10370.7265716763,..,76.58,8.5
2012,YR2012,South Africa,ZAF,13864.9709645476,296616987994.065,56.57,..
2013,YR2013,Brazil,BRA,15751.4844481235,1592732215022.21,69.56,3.7
2013,YR2013,Russian Federation,RUS,26332.396484375,1229228082407.64,73.19,0
2013,YR2013,India,IND,4780.12034494608,1659237035185.23,54.09,..
2013,YR2013,China,CHN,11101.9389299998,..,76.46,2.9
2013,YR2013,South Africa,ZAF,14017.4110148759,304060133904.915,57.25,..
2014,YR2014,Brazil,BRA,15695.6431041785,1600074768714.26,69.47,3.3
2014,YR2014,Russian Federation,RUS,26057.15625,1242726383149,73.43,0
2014,YR2014,India,IND,5071.04708421309,1777951805326.59,53.68,..
2014,YR2014,China,CHN,11851.4042175719,..,76.35,2.1
2014,YR2014,South Africa,ZAF,13993.270144214,308728490333.078,57.64,20.5
2015,YR2015,Brazil,BRA,15011.5771943528,1549671165349.12,69.8,3.9
2015,YR2015,Russian Federation,RUS,25488.095703125,1224537645119.52,73.68,0
2015,YR2015,India,IND,5411.87558832619,1920694478443.83,53.29,18.7
2015,YR2015,China,CHN,12612.3516512474,..,76.26,1.2
2015,YR2015,South Africa,ZAF,13887.2112157145,312277563208.294,59.09,..
2016,YR2016,Brazil,BRA,14402.4940082453,1504728425875.7,69.74,4.7
2016,YR2016,Russian Federation,RUS,25490.708984375,1228372260165.45,74.24,0
2016,YR2016,India,IND,5789.67806579605,2073812676817.92,52.9,18.1
2016,YR2016,China,CHN,13399.1373202686,..,76.19,0.8
2016,YR2016,South Africa,ZAF,13844.2759626997,314856864701.113,59.34,..
2017,YR2017,Brazil,BRA,14477.86176806,1523600894279.8,70.17,5.3
2017,YR2017,Russian Federation,RUS,25926.443359375,1251035364293.3,74.15,0
2017,YR2017,India,IND,6112.06664986172,2203035692859.77,52.52,13.4
2017,YR2017,China,CHN,14243.5326108474,..,76.12,0.7
2017,YR2017,South Africa,ZAF,13950.4534760766,318511380018.921,60.1,..
2018,YR2018,Brazil,BRA,14619.5911298271,1550357200792.98,70.31,5.3
2018,YR2018,Russian Federation,RUS,26656.41015625,1285847480839.66,74.43,0
2018,YR2018,India,IND,6436.15340234422,2331112971976.76,52.15,11.1
2018,YR2018,China,CHN,15133.9956182401,..,76.02,0.4
2018,YR2018,South Africa,ZAF,13990.3148928604,323556574849.311,59.96,..
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: World Development Indicators,,,,,,,
Last Updated: 03/30/2023,,,,,,,
